Code,Name,Aboriginal population as proportion of total population (%),% Australian born,% born in non-English speaking countries,% born overseas who speak English not well or not at all,"% Permanent migrants under the Humanitarian Program
(total)",Total fertility rate,"ASR People who left school at Year 10 or below, or did not go to school per 100",% single parent families,% persons living in social housing,% private dwellings where Internet accessed,% unemployed,% low birthweight babies,% children fully immunised at 5 years of age,"ASR Cancer per 100,000",ASR diabetes mellitus per 100,ASR mental and behavioural problems per 100,ASR Heart Stroke or Vascular Disease per 100,ASR asthma per 100,ASR COPD per 100,ASR arthritis per 100,ASR osteoporosis per 100,ASR High Blood Pressure per 100,ASR Obese per 100,ASR Smoking per 100,ASR Alcohol per 100,ASR Low Exercise per 100,% persons with a profound or severe disability,Median age (years),"GP Rate per 100,000 people","Specialists Rate per 100,000 people","Nurse Rate per 100,000 people","Dentist Rate per 100,000 people","ASR Nervous System Admissions per 100,000","ASR Circulatory Diseases Admission per 100,000","ASR Ischaemic Heart Disease per 100,000","ASR Stroke per 100,000"
10050,Albury (C),3.3,81.4,6.7,0.9,1.0,2.07,37.2,26.2,3.8,79.2,7.8,6.9,95.7,535.4,4.5,20.0,4.9,13.4,2.6,17.4,3.8,23.7,39.3,16.7,17.8,65.9,6.2,82.0,78.1,219.5,2008.7,65.1,911.2,"1,923.7",470.3,240.5
10130,Armidale Regional (A),9.0,79.4,7.8,0.8,0.2,1.74,32.3,26.6,5.8,78.8,6.3,7.7,93.7,549.6,4.1,20.5,4.8,15.1,2.6,16.5,4.1,23.7,40.2,16.6,20.4,63.4,5.3,81.0,104.2,117.2,1563.2,61.9,719.8,"1,732.6",494.2,178.5
10250,Ballina (A),4.0,81.3,4.2,0.1,0.0,1.98,35.8,25.6,3.5,80.3,2.9,5.4,95.5,552.0,3.7,18.6,4.1,11.6,1.9,13.9,4.5,23.2,31.5,14.3,20.7,57.4,6.4,84.0,128.9,29.4,895.8,70.1,835.1,"1,376.3",316.4,218.5
10300,Balranald (A),11.1,81.6,4.4,0.6,0.0,2.65,42.9,19.1,4.4,67.2,3.0,5.7,95.7,622.5,6.9,17.1,5.6,12.8,3.0,18.7,3.5,24.9,39.9,23.5,26.0,72.4,4.2,78.5,..,..,1111.1,..,549.2,"2,298.3",638.2,282.3
10470,Bathurst Regional (A),6.5,83.6,4.4,0.3,0.1,1.90,38.4,25.6,3.8,79.2,4.9,7.6,97.7,532.8,4.2,22.4,4.9,16.3,2.7,18.0,3.9,23.7,43.7,15.8,19.0,64.6,5.1,80.0,74.1,90.3,1282.2,48.6,779.8,"1,857.0",458.6,201.7
10550,Bega Valley (A),3.8,79.5,4.4,0.1,0.0,2.16,35.1,25.8,2.6,78.2,6.6,6.0,91.3,553.3,4.8,21.2,4.5,14.0,2.2,16.0,3.3,23.2,34.6,18.0,26.8,64.4,6.3,80.5,72.8,75.7,1595.4,55.3,714.5,"1,957.8",596.6,247.4
10600,Bellingen (A),4.2,80.2,4.0,0.1,0.0,2.50,36.4,31.0,1.9,78.9,8.0,6.1,80.3,606.9,5.4,20.7,4.2,13.6,2.6,15.1,3.6,23.3,35.9,18.6,26.1,68.1,6.3,81.0,169.7,..,1087.7,..,697.8,"1,737.3",382.8,422.7
10650,Berrigan (A),3.0,81.1,3.6,0.2,0.1,2.18,37.0,24.3,1.1,73.1,4.4,2.7,93.8,500.9,3.8,18.9,5.2,12.9,2.2,18.2,3.2,23.3,34.1,17.8,20.6,69.8,6.9,81.0,68.9,..,1010.7,..,981.5,"1,926.0",407.5,245.7
10750,Blacktown (C),3.4,54.1,35.1,4.0,2.1,2.08,34.4,19.1,6.7,84.8,5.1,7.3,95.5,540.6,8.0,17.1,5.8,10.2,2.1,16.1,4.2,23.2,34.0,14.2,7.5,74.3,5.3,76.0,80.8,53.5,609.5,33.6,621.9,"1,843.3",529.9,231.6
10800,Bland (A),5.5,82.1,2.4,0.1,0.0,2.45,45.1,23.3,1.6,69.5,4.1,6.7,92.1,556.0,5.9,21.2,5.9,15.3,2.2,19.6,3.4,25.2,40.9,19.3,25.3,73.6,4.8,80.0,66.8,..,668.3,..,541.7,"2,283.7",565.2,309.5
10850,Blayney (A),4.4,85.4,2.2,0.1,0.0,2.29,43.5,21.6,1.5,75.3,4.2,4.9,98.9,576.4,4.1,22.4,5.2,13.0,2.7,17.9,3.9,23.4,42.6,18.0,20.9,72.0,5.4,80.0,68.1,..,490.3,..,568.5,"2,052.8",346.2,199.2
10900,Blue Mountains (C),2.8,78.1,7.0,0.3,0.0,1.88,29.6,20.0,1.6,87.6,2.8,4.9,93.2,509.2,3.6,23.1,4.2,11.5,2.3,13.7,4.3,21.1,34.1,11.6,20.0,59.1,5.7,82.0,84.5,29.0,696.4,49.2,687.9,"1,388.1",377.6,234.3
10950,Bogan (A),20.9,83.2,2.7,0.0,0.0,2.95,44.9,23.0,6.6,66.8,2.5,5.4,100.0,603.7,7.8,21.6,6.0,14.4,2.5,19.9,2.3,24.2,44.6,26.2,24.6,76.7,4.0,78.5,190.8,..,1030.1,..,857.8,"2,532.2",709.8,397.2
11100,Botany Bay (C),2.1,48.6,37.7,5.9,0.6,1.52,26.7,16.2,5.7,81.9,3.1,7.1,94.0,554.7,5.8,16.0,4.8,7.6,2.0,12.3,3.3,23.2,24.4,14.6,11.3,68.4,5.1,80.0,86.0,239.1,1723.8,46.5,530.1,"1,486.2",358.7,187.2
11150,Bourke (A),42.3,74.9,2.0,0.3,0.0,2.50,40.9,32.1,16.3,62.5,4.2,11.0,98.6,641.3,..,..,..,..,..,..,..,..,..,..,..,..,4.1,72.0,190.1,..,1520.9,..,692.8,"3,840.4","1,258.1",308.7
11200,Brewarrina (A),68.9,87.8,1.2,0.0,0.0,1.85,55.6,53.2,42.5,55.0,4.3,10.3,98.6,500.3,..,..,..,..,..,..,..,..,..,..,..,..,4.6,68.0,..,..,1329.3,..,725.1,"4,440.4","1,410.8",..
11250,Broken Hill (C),10.3,86.8,2.6,0.2,0.0,2.05,49.2,38.2,2.1,69.2,3.0,7.1,98.2,583.7,8.3,23.8,6.6,13.7,3.2,20.1,4.8,23.2,45.4,23.8,21.9,73.8,8.2,81.0,118.4,101.5,2063.8,39.5,604.9,"2,223.3",773.3,241.1
11300,Burwood (A),0.5,37.4,54.1,12.8,0.4,1.12,21.5,15.7,2.4,84.1,3.8,7.4,93.3,439.2,5.5,15.5,4.6,6.9,1.8,12.2,5.2,23.9,21.2,12.3,10.1,66.7,5.3,84.0,115.3,243.2,704.5,180.5,697.6,"1,264.4",265.7,168.9
11350,Byron (A),2.3,68.3,7.4,0.2,0.0,1.74,25.9,28.6,1.3,85.0,3.9,4.2,73.9,592.8,4.0,20.1,4.1,11.8,2.5,14.4,4.5,23.0,32.3,15.5,20.4,56.0,4.8,82.0,130.2,40.5,702.8,72.3,477.3,"1,176.4",249.3,170.0
11400,Cabonne (A),4.5,86.0,2.2,0.1,0.0,2.36,41.8,17.3,0.7,75.7,2.8,5.4,97.9,539.4,4.2,21.0,4.8,13.2,2.3,16.5,3.4,22.0,39.1,16.1,19.4,68.3,5.0,82.0,51.2,..,818.7,..,726.7,"1,589.5",377.5,152.3
11450,Camden (A),2.9,77.4,11.1,1.1,0.3,2.26,42.5,15.6,1.2,88.8,2.2,5.9,96.9,593.1,5.3,18.2,5.4,10.1,2.3,16.5,4.3,23.7,35.2,12.1,15.1,65.5,4.5,81.0,89.2,17.0,349.4,43.5,"1,154.4","1,636.2",449.5,227.2
11500,Campbelltown (C),4.5,62.0,24.5,2.9,0.8,2.08,40.0,26.3,9.5,82.5,6.2,7.2,95.3,584.9,7.5,19.1,5.9,10.3,2.4,16.8,4.3,23.2,37.0,16.6,9.9,73.4,6.1,76.0,96.9,126.1,1043.8,44.0,940.9,"1,969.7",517.9,271.2
11520,Canada Bay (A),0.6,53.2,34.4,6.1,0.2,1.48,22.3,13.3,1.8,87.5,2.0,6.2,93.3,512.7,4.6,16.9,4.6,7.2,1.6,12.4,4.8,23.0,21.6,9.9,13.8,60.0,4.5,84.0,101.9,280.6,1686.7,61.0,639.9,"1,299.5",247.6,168.8
11570,Canterbury-Bankstown (A),0.9,49.6,41.3,11.5,1.5,2.04,32.7,18.1,6.0,79.7,7.0,7.0,94.0,500.8,7.1,15.2,5.0,8.6,2.0,15.0,4.8,23.3,27.8,15.0,9.1,73.6,6.9,82.0,83.7,67.1,602.8,48.7,655.3,"1,682.1",416.8,208.0
11600,Carrathool (A),9.7,80.0,5.9,1.2,0.0,2.63,45.5,16.7,1.7,70.8,2.7,6.5,96.7,658.3,5.9,17.8,5.1,12.8,2.4,20.3,2.5,22.7,37.2,19.0,23.2,70.5,4.1,79.0,..,..,713.8,..,539.7,"2,047.4",698.2,233.3
11650,Central Coast (C),4.6,78.8,6.2,0.5,0.0,2.01,40.4,25.8,2.7,80.6,5.3,6.1,96.1,588.2,5.0,22.5,4.9,13.0,2.7,16.3,4.3,22.0,35.3,17.0,18.8,65.6,6.7,82.0,95.0,111.4,1315.3,47.7,637.7,"1,584.5",383.6,215.8
11700,Central Darling (A),47.8,79.4,2.8,0.2,0.0,2.16,47.5,34.6,26.5,54.4,3.9,11.9,98.1,578.2,10.4,25.0,8.8,14.3,3.7,25.1,6.4,27.6,50.3,24.7,23.6,81.5,3.7,64.0,..,..,1469.8,..,666.1,"2,993.2","1,013.9",339.5
11720,Cessnock (C),8.6,85.7,2.5,0.1,0.0,2.14,51.7,30.9,2.9,75.9,7.4,7.5,97.2,583.8,5.6,25.2,6.0,14.6,2.9,19.9,3.9,24.1,46.3,24.3,18.4,74.8,7.6,80.0,54.1,6.8,665.0,25.4,558.4,"1,699.1",535.9,226.8
11730,Clarence Valley (A),7.7,83.7,2.9,0.2,0.0,2.33,44.0,31.8,2.7,73.8,9.7,7.1,95.6,613.5,5.6,23.6,4.7,13.2,2.8,16.6,3.8,23.7,37.2,19.9,21.1,68.4,8.8,81.0,87.1,58.1,1121.1,50.3,687.4,"1,798.9",564.2,231.9
11750,Cobar (A),16.9,80.0,3.3,0.3,0.1,2.33,47.5,21.6,7.1,70.4,1.2,5.4,93.1,565.0,8.8,20.9,7.0,14.0,2.7,22.0,2.7,25.5,44.1,24.5,23.8,75.0,4.0,78.0,..,..,825.9,..,856.8,"2,995.1",810.4,491.8
11800,Coffs Harbour (C),6.0,78.3,7.3,1.2,1.4,2.01,39.6,29.0,4.0,80.9,7.8,6.8,94.0,596.4,4.5,19.9,4.2,13.9,2.6,16.3,4.4,23.6,35.8,17.3,17.3,64.2,6.5,82.0,95.4,146.3,1657.7,64.0,883.9,"2,122.7",548.2,296.4
12000,Coolamon (A),3.9,84.5,1.4,0.1,0.0,2.20,43.9,22.6,0.7,73.6,2.7,6.2,95.6,599.3,4.0,20.1,4.6,12.7,2.4,17.7,2.9,21.8,35.0,16.6,21.2,71.7,5.8,79.0,..,..,526.6,..,668.0,"1,486.5",329.1,131.6
12150,Coonamble (A),38.5,80.6,1.6,0.1,0.0,3.66,41.5,41.3,12.0,60.5,4.3,10.2,96.4,608.2,7.2,20.7,5.6,13.7,2.3,18.1,2.1,22.4,41.7,25.1,23.2,73.0,8.0,77.0,..,..,1245.6,..,789.0,"2,446.1",661.2,392.2
13510,Cootamundra-Gundagai Regional(A),5.5,85.6,2.5,0.2,0.0,2.11,44.2,25.1,4.1,69.3,5.0,8.1,98.2,657.0,4.3,20.6,4.7,12.4,2.2,18.3,3.4,22.2,35.5,17.9,20.4,71.2,7.3,80.0,97.7,..,976.9,..,571.0,"2,122.5",429.1,240.0
12350,Cowra (A),9.5,84.5,3.0,0.3,0.1,2.21,46.6,28.9,4.7,70.3,8.0,6.8,100.0,550.8,5.8,22.9,5.9,15.6,2.6,18.5,3.9,23.1,41.0,20.3,19.5,68.3,7.6,81.0,54.8,..,908.6,31.3,668.5,"1,878.5",468.3,211.0
12380,Cumberland (A),0.8,41.7,49.7,12.9,4.5,2.07,33.8,15.4,4.9,81.1,8.2,6.2,92.7,501.1,7.6,14.4,5.0,8.1,2.0,14.9,4.7,24.3,28.4,15.8,6.7,76.3,6.0,80.0,99.2,380.8,2315.4,90.3,639.2,"1,659.5",443.9,226.1
18230,Dubbo Regional (A),18.7,84.0,4.7,0.3,0.0,2.37,42.8,29.3,5.2,76.0,2.0,7.0,97.0,602.6,5.2,24.9,5.2,13.5,2.8,18.5,3.8,23.6,44.0,18.7,18.9,69.0,6.1,80.0,82.6,127.7,1692.3,54.5,673.7,"1,937.4",631.8,220.8
12700,Dungog (A),6.0,86.6,1.4,0.0,0.0,2.33,46.0,21.7,0.8,77.2,4.1,7.0,93.8,564.5,4.5,21.6,5.9,13.6,2.7,19.3,3.7,23.3,37.6,16.3,21.0,71.9,6.1,80.0,..,..,395.9,..,366.8,"1,486.4",382.8,181.9
12730,Edward River (A),4.9,82.1,3.3,0.7,0.0,2.26,38.5,25.2,3.6,72.1,6.4,4.9,99.2,602.0,4.0,20.2,5.6,13.3,2.8,19.0,3.5,24.2,37.2,18.0,20.3,69.1,6.6,80.0,77.8,..,1289.6,55.6,"1,089.8","2,087.4",434.9,319.3
12750,Eurobodalla (A),6.8,77.6,5.3,0.3,0.0,2.23,36.7,31.5,4.0,76.9,9.7,5.3,95.1,574.7,4.9,22.6,4.7,13.8,1.9,16.3,4.0,23.4,35.7,18.9,21.4,61.0,8.2,81.0,107.1,23.5,1214.5,44.4,614.4,"1,797.7",532.4,229.6
12850,Fairfield (C),0.9,40.6,51.6,20.1,8.0,1.75,39.8,25.8,6.1,78.0,9.2,6.8,94.1,474.9,9.3,15.1,5.2,9.2,2.0,16.6,5.1,23.4,30.8,17.5,8.4,79.3,8.8,81.0,80.7,39.9,413.6,53.2,468.5,"1,574.5",422.1,226.4
12870,Federation (A),2.1,83.2,2.8,0.2,0.1,2.33,37.3,24.1,0.7,72.5,5.5,5.6,96.4,610.3,3.9,19.0,5.3,12.9,2.3,18.3,3.2,23.2,34.3,17.9,20.8,70.2,5.8,81.0,56.2,..,802.4,..,997.0,"1,968.9",416.0,251.3
12900,Forbes (A),13.7,85.7,2.0,0.2,0.0,2.44,43.3,25.1,4.0,69.9,4.9,4.5,98.5,627.1,6.1,20.4,5.3,15.9,2.7,17.6,2.9,23.2,40.9,21.3,25.2,73.6,6.0,82.0,70.6,..,1180.6,..,740.5,"1,888.4",464.9,225.0
12930,Georges River (A),0.6,49.7,41.7,9.8,0.4,1.47,25.2,14.7,2.1,85.4,3.1,6.9,93.9,529.5,5.3,13.7,4.6,7.0,1.8,12.4,5.7,23.5,22.7,12.1,12.3,65.3,5.2,85.0,66.3,44.8,401.5,56.2,930.2,"1,483.7",258.9,299.6
12950,Gilgandra (A),17.0,86.9,1.9,0.0,0.0,2.85,47.7,33.1,5.3,64.7,2.7,6.1,100.0,606.5,7.0,21.8,5.5,13.8,2.9,18.6,3.0,24.0,45.8,22.1,25.8,75.3,7.7,81.0,..,..,1159.5,..,442.8,"2,264.6",700.2,332.1
13010,Glen Innes Severn (A),7.5,81.7,2.8,0.2,0.0,2.14,43.3,30.5,2.8,67.8,9.6,8.4,95.7,504.9,6.9,21.6,5.0,13.0,3.1,18.9,2.5,24.2,42.7,22.5,24.9,73.0,7.3,81.0,101.0,..,1066.5,..,794.6,"1,983.1",505.3,193.0
13310,Goulburn Mulwaree (A),4.8,82.7,5.4,0.6,0.3,1.96,42.7,26.9,4.6,74.0,6.4,5.4,97.8,571.9,4.8,22.9,5.2,12.6,2.6,19.7,4.7,23.9,31.6,17.8,15.5,69.4,6.7,80.0,48.6,71.3,1565.5,48.6,840.9,"1,994.4",457.3,256.0
13340,Greater Hume Shire (A),3.8,86.1,2.5,0.1,0.0,2.51,41.4,18.7,0.5,76.2,3.2,6.8,96.7,560.5,4.1,20.4,4.9,12.6,2.2,16.5,3.7,23.6,37.4,16.0,20.8,66.7,5.9,82.0,..,..,767.4,..,895.8,"1,837.8",445.8,265.8
13450,Griffith (C),5.9,70.7,15.4,4.0,0.6,2.21,45.3,19.7,3.9,73.1,3.5,7.0,95.1,571.2,6.2,17.2,5.6,12.1,2.5,19.9,3.1,23.8,35.4,19.1,19.8,72.6,5.8,81.0,74.4,74.4,1290.8,74.4,573.5,"2,334.8",734.1,202.6
13550,Gunnedah (A),15.3,86.0,2.2,0.2,0.0,2.68,46.6,25.3,3.2,70.6,6.4,5.5,99.2,573.8,6.4,20.7,5.0,13.3,3.0,16.9,3.1,23.7,44.1,22.5,25.9,70.4,5.7,81.0,47.4,..,813.5,39.5,461.0,"1,655.5",461.4,183.0
13660,Gwydir (A),7.2,84.3,1.5,0.1,0.0,2.46,42.3,22.0,0.8,64.1,5.1,7.1,91.8,641.6,4.9,20.6,4.9,12.7,2.7,17.2,2.2,23.2,39.6,19.9,25.6,72.1,7.5,81.0,74.8,..,990.8,..,815.0,"1,644.0",449.2,175.2
13800,Hawkesbury (C),4.4,81.3,5.8,0.5,0.0,2.03,45.4,19.9,3.0,84.2,4.7,4.7,96.4,599.9,4.2,20.9,4.5,10.4,2.6,14.6,3.6,22.4,35.1,14.6,19.2,65.6,5.0,81.0,86.5,62.6,821.4,58.1,598.7,"1,565.3",444.4,142.0
13850,Hay (A),7.6,79.8,3.6,0.3,0.0,2.38,39.3,27.7,3.0,63.4,5.5,8.0,97.2,572.9,6.1,16.9,4.9,12.8,2.8,16.7,3.0,22.7,38.2,23.7,25.6,70.1,5.3,82.0,..,..,805.6,..,534.3,"2,021.9",567.7,243.0
13910,Hilltops (A),5.3,85.5,3.0,0.3,0.0,2.51,44.1,27.4,2.1,70.4,7.3,6.1,93.9,575.1,3.9,22.9,4.9,12.5,2.7,18.7,3.7,23.4,35.3,19.3,18.6,72.3,6.7,81.0,53.2,..,974.3,26.6,817.9,"1,719.0",528.0,156.0
14000,Hornsby (A),0.5,59.5,28.1,3.6,0.2,1.61,20.5,10.2,1.3,90.8,4.6,5.4,93.8,525.1,4.0,15.4,4.3,8.9,1.6,13.8,4.1,22.2,23.4,7.8,13.2,62.0,4.5,86.0,112.8,100.8,830.5,76.3,406.7,907.2,223.1,149.0
14100,Hunters Hill (A),0.7,67.9,17.4,2.8,0.1,1.57,17.4,12.0,3.6,88.5,2.8,5.2,95.3,526.4,4.0,19.2,4.0,8.4,1.2,13.3,4.3,20.9,22.8,8.5,18.7,54.5,6.2,89.0,47.0,53.7,1214.0,40.2,337.7,"1,261.3",215.9,392.0
14170,Inner West (A),1.4,58.1,24.4,5.0,0.2,1.32,19.8,15.0,2.7,86.8,3.7,5.5,92.9,536.2,4.7,20.4,4.4,8.5,2.3,11.4,4.6,22.5,25.6,12.1,15.6,59.3,4.8,82.0,89.9,52.0,399.4,59.1,510.7,"1,377.2",275.3,160.3
14200,Inverell (A),10.3,84.2,3.1,0.3,0.0,2.44,45.3,31.8,5.3,68.9,7.9,9.0,95.5,573.0,6.4,25.2,5.0,12.8,2.9,17.5,2.5,23.7,43.2,22.5,25.4,69.6,6.8,80.0,83.1,..,902.4,53.4,646.2,"2,069.0",640.5,158.0
14300,Junee (A),9.4,82.5,4.6,1.3,0.0,2.09,40.7,26.9,2.7,73.0,4.4,7.3,98.1,599.9,5.9,23.8,6.8,14.5,2.9,24.9,4.9,28.6,42.8,19.8,23.7,85.5,5.5,79.0,..,..,904.8,..,613.8,"2,920.9",574.4,347.0
14350,Kempsey (A),14.2,82.9,3.1,0.2,0.0,2.69,45.1,39.1,4.6,70.6,7.1,8.1,96.8,606.0,5.7,25.4,4.6,13.6,2.7,17.1,3.5,23.2,41.3,22.8,20.7,71.6,9.3,81.0,67.4,23.6,1196.7,27.0,783.7,"2,088.8",606.5,274.3
14400,Kiama (A),2.2,79.4,4.6,0.3,0.0,1.91,32.6,16.1,1.0,86.7,2.1,4.5,92.7,539.9,4.2,19.7,5.1,9.9,1.8,19.2,4.6,23.3,30.7,10.7,19.8,56.4,4.8,84.0,69.5,21.7,308.6,34.8,433.9,"1,035.4",264.4,117.5
14500,Ku-ring-gai (A),0.2,57.3,25.7,3.3,0.1,1.43,12.9,9.5,0.3,93.1,2.4,4.6,92.9,521.6,3.3,14.3,3.9,9.4,1.1,12.1,4.3,22.0,15.4,5.1,15.8,49.1,3.8,87.0,110.3,173.0,1224.9,82.5,276.3,625.6,107.1,96.6
14550,Kyogle (A),5.1,79.9,3.8,0.1,0.0,3.14,42.5,31.7,1.7,71.0,5.8,7.4,89.0,586.5,4.9,22.2,4.3,13.2,2.7,15.2,3.5,23.0,38.0,18.7,20.5,73.1,7.9,81.0,56.4,..,755.4,..,639.3,"1,781.6",431.9,190.3
14600,Lachlan (A),22.1,83.2,2.2,0.2,0.0,2.89,43.8,25.5,8.5,63.6,7.2,7.1,97.3,582.3,6.5,21.0,5.7,16.2,2.8,18.9,3.1,24.6,42.7,21.8,26.1,76.0,5.8,80.0,81.3,..,1073.0,..,796.3,"2,096.1",515.9,250.6
14650,Lake Macquarie (C),4.7,85.2,4.7,0.3,0.0,1.97,44.0,23.7,4.2,81.3,5.0,6.7,97.4,576.5,4.5,22.8,5.2,13.4,2.5,18.8,3.9,23.7,34.8,16.4,19.8,60.8,6.8,82.0,91.7,67.3,889.6,46.4,464.7,"1,174.8",281.0,155.1
14700,Lane Cove (A),0.4,59.0,25.3,2.4,0.2,1.58,13.4,10.5,1.0,91.7,2.7,5.4,89.7,534.1,3.7,14.8,3.8,8.1,1.4,10.7,4.3,22.4,18.5,7.6,14.8,53.0,3.4,85.0,88.6,141.8,731.9,73.4,492.5,"1,115.0",200.1,295.9
14750,Leeton (A),6.9,81.4,5.7,0.9,0.4,2.47,47.9,25.0,3.0,72.7,4.9,6.9,93.9,535.2,7.0,20.7,5.6,13.7,2.8,21.3,3.3,24.7,42.8,21.0,24.3,74.0,5.7,81.0,61.2,..,690.7,..,707.8,"2,160.7",550.7,270.9
14850,Lismore (C),6.0,82.0,4.4,0.3,0.2,1.93,39.3,32.3,3.3,79.0,4.8,5.8,89.4,566.2,4.8,21.1,4.4,13.7,2.8,15.6,4.1,23.3,36.0,16.4,17.1,63.7,6.8,80.0,93.5,335.3,2987.9,66.1,871.7,"1,698.0",338.5,208.2
14870,Lithgow (C),7.1,79.6,4.5,0.3,0.0,1.91,45.2,29.7,5.3,71.8,7.2,6.8,97.1,599.2,5.7,25.4,5.5,13.8,3.0,18.4,4.2,23.9,43.7,23.2,19.2,73.3,7.1,79.0,83.2,18.5,970.6,46.2,692.9,"1,555.9",415.4,136.0
14900,Liverpool (C),1.8,51.7,37.4,8.1,4.6,2.08,35.7,18.7,5.5,82.4,5.0,6.6,95.2,510.9,7.5,16.0,5.5,9.5,2.2,15.7,4.8,23.8,35.8,16.1,8.4,75.6,6.6,78.0,61.4,213.2,1250.3,41.6,623.2,"1,685.4",434.7,259.5
14920,Liverpool Plains (A),15.2,84.5,1.4,0.0,0.0,2.06,45.5,28.2,4.2,69.4,6.8,8.1,100.0,519.8,6.4,21.4,5.4,13.3,2.8,15.9,3.3,23.6,44.1,27.5,25.6,75.4,6.8,80.0,..,..,848.9,..,676.7,"1,400.5",322.6,121.6
14950,Lockhart (A),4.3,84.7,1.4,0.2,0.0,2.51,42.6,16.4,0.8,74.8,2.4,6.2,95.8,590.9,3.9,20.5,4.6,13.0,2.3,17.5,2.8,21.7,34.8,16.4,21.3,72.2,6.8,82.0,..,..,971.2,..,656.9,"1,326.7",296.7,..
15050,Maitland (C),6.2,86.7,3.8,0.3,0.1,1.95,48.2,24.6,4.4,82.1,4.8,6.4,97.3,572.0,4.9,23.5,5.9,14.6,2.8,20.5,4.0,24.0,44.7,17.9,18.3,69.4,6.0,80.0,64.9,98.6,1175.4,46.9,440.8,"1,420.2",427.4,175.8
